ts,open,high,low,close,volume,time
1735689600000,93571.01,94482.29,93484.52,93838.2,1358.321417,2025-01-01 00:00:00+00:00
1735704000000,93838.2,93940.36,93527.54,93693.32,657.949374,2025-01-01 04:00:00+00:00
1735718400000,93693.32,93764.52,92912.18,93443.35,1442.271469,2025-01-01 08:00:00+00:00
1735732800000,93443.35,94512.59,93400.0,94437.91,2472.811755,2025-01-01 12:00:00+00:00
1735747200000,94437.91,94823.29,93753.78,94626.58,2099.925498,2025-01-01 16:00:00+00:00
1735761600000,94626.58,95171.35,94544.53,94602.88,2023.250119,2025-01-01 20:00:00+00:00
1735776000000,94602.88,95530.93,94390.09,95016.6,3958.89471,2025-01-02 00:00:00+00:00
1735790400000,95016.6,96021.19,94992.06,95832.07,2664.908274,2025-01-02 04:00:00+00:00
1735804800000,95832.07,96886.52,95637.53,96747.73,3274.62008,2025-01-02 08:00:00+00:00
1735819200000,96747.73,97428.57,95947.36,96468.58,5798.282604,2025-01-02 12:00:00+00:00
1735833600000,96468.58,97788.7,96047.16,97329.01,5229.880908,2025-01-02 16:00:00+00:00
1735848000000,97329.01,97850.0,96686.02,96997.37,2345.808301,2025-01-02 20:00:00+00:00
1735862400000,96997.37,97356.31,96652.85,97064.12,1571.430144,2025-01-03 00:00:00+00:00
1735876800000,97064.12,97080.5,96291.06,96311.86,1636.513248,2025-01-03 04:00:00+00:00
1735891200000,96311.86,96836.78,96100.0,96755.91,2038.354199,2025-01-03 08:00:00+00:00
1735905600000,96755.91,97670.0,96466.58,97525.02,4702.481289,2025-01-03 12:00:00+00:00
1735920000000,97525.02,98988.01,97401.0,98588.91,4725.505379,2025-01-03 16:00:00+00:00
1735934400000,98588.91,98747.67,98073.01,98182.95,2345.849566,2025-01-03 20:00:00+00:00
1735948800000,98182.95,98315.75,97794.8,98191.28,1377.602252,2025-01-04 00:00:00+00:00
1735963200000,98191.28,98339.04,97863.75,98275.56,1136.572586,2025-01-04 04:00:00+00:00
1735977600000,98275.56,98305.6,97563.3,97890.28,1345.17962,2025-01-04 08:00:00+00:00
1735992000000,97890.28,98164.09,97525.0,97662.47,1894.490061,2025-01-04 12:00:00+00:00
1736006400000,97662.47,98356.16,97571.01,98169.12,1567.164837,2025-01-04 16:00:00+00:00
1736020800000,98169.12,98783.0,98158.35,98225.07,1826.536069,2025-01-04 20:00:00+00:00
1736035200000,98225.07,98396.65,98041.15,98190.69,1185.669299,2025-01-05 00:00:00+00:00
1736049600000,98190.69,98533.73,98190.69,98265.44,998.98007,2025-01-05 04:00:00+00:00
1736064000000,98265.44,98265.45,97572.74,97650.3,1612.345517,2025-01-05 08:00:00+00:00
1736078400000,97650.3,98271.96,97275.01,98037.76,2674.592399,2025-01-05 12:00:00+00:00
1736092800000,98037.76,98337.5,97585.61,98080.59,2027.961472,2025-01-05 16:00:00+00:00
1736107200000,98080.59,98841.92,98013.51,98372.94,2303.328047,2025-01-05 20:00:00+00:00
1736121600000,98372.94,99300.0,97916.5,99041.06,4619.681974,2025-01-06 00:00:00+00:00
1736136000000,99041.06,99924.25,99041.06,99314.92,3565.258429,2025-01-06 04:00:00+00:00
