ts,open,high,low,close,volume,time
1735689600000,3337.43,3349.49,3335.43,3348.46,916.01721,2025-01-01 00:00:00+00:00
1735690500000,3348.46,3353.65,3346.44,3349.61,976.02482,2025-01-01 00:15:00+00:00
1735691400000,3349.61,3361.41,3349.01,3356.38,2024.04667,2025-01-01 00:30:00+00:00
1735692300000,3356.38,3365.61,3353.78,3363.88,1353.60169,2025-01-01 00:45:00+00:00
1735693200000,3363.88,3366.07,3354.8,3360.87,965.21641,2025-01-01 01:00:00+00:00
1735694100000,3360.87,3360.87,3351.32,3352.92,588.28778,2025-01-01 01:15:00+00:00
1735695000000,3352.92,3358.68,3352.64,3352.84,461.60501,2025-01-01 01:30:00+00:00
1735695900000,3352.84,3354.61,3342.15,3346.52,757.47134,2025-01-01 01:45:00+00:00
1735696800000,3346.52,3354.94,3345.71,3354.81,590.45028,2025-01-01 02:00:00+00:00
1735697700000,3354.81,3354.81,3349.01,3350.45,423.99664,2025-01-01 02:15:00+00:00
1735698600000,3350.45,3360.15,3350.02,3357.84,612.76492,2025-01-01 02:30:00+00:00
1735699500000,3357.84,3368.53,3355.5,3362.69,1511.03719,2025-01-01 02:45:00+00:00
1735700400000,3362.69,3363.93,3358.31,3360.1,656.04942,2025-01-01 03:00:00+00:00
1735701300000,3360.1,3360.1,3351.79,3354.51,566.91971,2025-01-01 03:15:00+00:00
1735702200000,3354.51,3357.25,3351.86,3355.8,410.92641,2025-01-01 03:30:00+00:00
1735703100000,3355.8,3356.64,3350.93,3354.9,419.91559,2025-01-01 03:45:00+00:00
1735704000000,3354.9,3356.72,3347.9,3348.98,521.84407,2025-01-01 04:00:00+00:00
1735704900000,3348.98,3351.7,3345.82,3348.47,816.37098,2025-01-01 04:15:00+00:00
1735705800000,3348.47,3350.58,3344.34,3345.58,415.00395,2025-01-01 04:30:00+00:00
1735706700000,3345.58,3347.71,3339.6,3341.26,632.24707,2025-01-01 04:45:00+00:00
1735707600000,3341.26,3348.49,3340.1,3347.08,418.58992,2025-01-01 05:00:00+00:00
1735708500000,3347.08,3351.46,3345.36,3350.13,540.08514,2025-01-01 05:15:00+00:00
1735709400000,3350.13,3351.79,3344.33,3348.55,468.63721,2025-01-01 05:30:00+00:00
1735710300000,3348.55,3349.85,3344.66,3345.34,489.81974,2025-01-01 05:45:00+00:00
1735711200000,3345.34,3348.76,3339.22,3341.8,635.36552,2025-01-01 06:00:00+00:00
1735712100000,3341.8,3345.83,3340.77,3344.18,695.67621,2025-01-01 06:15:00+00:00
1735713000000,3344.18,3344.97,3336.69,3344.97,782.57521,2025-01-01 06:30:00+00:00
