ts,open,high,low,close,volume,time
1735689600000,3337.43,3365.61,3335.43,3363.88,5269.69039,2025-01-01 00:00:00+00:00
1735693200000,3363.88,3366.07,3342.15,3346.52,2772.58054,2025-01-01 01:00:00+00:00
1735696800000,3346.52,3368.53,3345.71,3362.69,3138.24903,2025-01-01 02:00:00+00:00
1735700400000,3362.69,3363.93,3350.93,3354.9,2053.81113,2025-01-01 03:00:00+00:00
1735704000000,3354.9,3356.72,3339.6,3341.26,2385.46607,2025-01-01 04:00:00+00:00
1735707600000,3341.26,3351.79,3340.1,3345.34,1917.13201,2025-01-01 05:00:00+00:00
1735711200000,3345.34,3348.76,3336.69,3346.7,2524.62565,2025-01-01 06:00:00+00:00
1735714800000,3346.7,3349.69,3339.42,3347.02,2262.05807,2025-01-01 07:00:00+00:00
1735718400000,3347.02,3349.27,3331.82,3336.71,3950.76765,2025-01-01 08:00:00+00:00
1735722000000,3336.71,3340.83,3312.72,3334.73,6411.75105,2025-01-01 09:00:00+00:00
1735725600000,3334.73,3339.21,3325.78,3327.18,2427.23033,2025-01-01 10:00:00+00:00
1735729200000,3327.18,3348.67,3323.32,3340.81,3064.48968,2025-01-01 11:00:00+00:00
1735732800000,3340.81,3352.76,3338.25,3347.33,4280.21898,2025-01-01 12:00:00+00:00
1735736400000,3347.33,3354.09,3332.26,3344.15,5218.7211,2025-01-01 13:00:00+00:00
1735740000000,3344.15,3360.0,3328.31,3346.04,5602.50965,2025-01-01 14:00:00+00:00
1735743600000,3346.04,3355.1,3332.71,3352.99,5487.04665,2025-01-01 15:00:00+00:00
1735747200000,3352.99,3357.29,3332.33,3338.41,4932.60627,2025-01-01 16:00:00+00:00
1735750800000,3338.41,3344.99,3322.85,3343.88,5156.43959,2025-01-01 17:00:00+00:00
1735754400000,3343.88,3352.34,3333.16,3348.63,5317.44768,2025-01-01 18:00:00+00:00
1735758000000,3348.63,3364.66,3337.6,3357.0,8576.62307,2025-01-01 19:00:00+00:00
1735761600000,3357.0,3362.6,3351.84,3360.26,4822.38235,2025-01-01 20:00:00+00:00
1735765200000,3360.26,3371.57,3353.23,3368.58,5328.46871,2025-01-01 21:00:00+00:00
1735768800000,3368.58,3375.39,3358.82,3361.72,4598.61898,2025-01-01 22:00:00+00:00
1735772400000,3361.72,3367.41,3352.71,3360.54,4840.83896,2025-01-01 23:00:00+00:00
1735776000000,3360.54,3401.1,3354.64,3390.54,10925.13423,2025-01-02 00:00:00+00:00
1735779600000,3390.54,3406.03,3378.07,3384.07,8044.68507,2025-01-02 01:00:00+00:00
1735783200000,3384.07,3399.13,3378.17,3398.89,5764.3574,2025-01-02 02:00:00+00:00
1735786800000,3398.89,3402.65,3387.62,3389.0,4490.44275,2025-01-02 03:00:00+00:00
1735790400000,3389.0,3427.71,3388.35,3418.5,9673.72119,2025-01-02 04:00:00+00:00
1735794000000,3418.5,3420.0,3404.75,3412.76,5825.45271,2025-01-02 05:00:00+00:00
