ts,open,high,low,close,volume,time
1735689600000,189.32,192.65,189.09,192.5,47386.762,2025-01-01 00:00:00+00:00
1735693200000,192.5,192.62,190.34,190.7,33021.882,2025-01-01 01:00:00+00:00
1735696800000,190.7,192.06,190.41,191.6,23045.47,2025-01-01 02:00:00+00:00
1735700400000,191.6,191.62,190.05,190.4,18799.936,2025-01-01 03:00:00+00:00
1735704000000,190.4,190.41,189.34,189.5,25718.387,2025-01-01 04:00:00+00:00
1735707600000,189.5,190.64,189.35,190.16,18152.591,2025-01-01 05:00:00+00:00
1735711200000,190.16,190.34,189.4,190.32,10254.429,2025-01-01 06:00:00+00:00
1735714800000,190.32,190.39,189.72,190.09,13940.079,2025-01-01 07:00:00+00:00
1735718400000,190.09,190.77,189.29,189.4,17353.765,2025-01-01 08:00:00+00:00
1735722000000,189.4,189.77,187.98,189.18,33722.631,2025-01-01 09:00:00+00:00
1735725600000,189.18,191.02,189.18,190.26,27123.845,2025-01-01 10:00:00+00:00
1735729200000,190.26,191.88,189.93,191.35,28442.937,2025-01-01 11:00:00+00:00
1735732800000,191.35,191.79,190.53,190.95,32197.722,2025-01-01 12:00:00+00:00
1735736400000,190.95,191.35,189.55,190.25,26454.829,2025-01-01 13:00:00+00:00
1735740000000,190.25,191.48,189.16,190.89,21612.266,2025-01-01 14:00:00+00:00
1735743600000,190.89,192.17,189.97,191.91,18820.497,2025-01-01 15:00:00+00:00
1735747200000,191.91,192.27,190.08,190.51,19179.008,2025-01-01 16:00:00+00:00
1735750800000,190.51,190.68,189.24,190.62,21571.642,2025-01-01 17:00:00+00:00
1735754400000,190.62,192.24,189.89,191.69,23122.39,2025-01-01 18:00:00+00:00
1735758000000,191.69,193.9,191.5,193.09,42223.737,2025-01-01 19:00:00+00:00
1735761600000,193.09,194.57,193.09,194.32,35115.272,2025-01-01 20:00:00+00:00
1735765200000,194.32,195.32,193.71,194.67,37703.941,2025-01-01 21:00:00+00:00
1735768800000,194.67,194.94,193.67,194.54,19652.364,2025-01-01 22:00:00+00:00
1735772400000,194.54,195.17,193.81,194.3,27540.571,2025-01-01 23:00:00+00:00
1735776000000,194.3,197.17,193.43,196.26,67317.763,2025-01-02 00:00:00+00:00
1735779600000,196.26,198.45,196.13,197.7,46205.896,2025-01-02 01:00:00+00:00
1735783200000,197.7,199.45,197.46,199.41,55132.722,2025-01-02 02:00:00+00:00
1735786800000,199.41,199.7,197.83,198.55,35459.071,2025-01-02 03:00:00+00:00
1735790400000,198.55,204.87,198.55,204.45,112440.93,2025-01-02 04:00:00+00:00
1735794000000,204.45,205.53,203.37,204.62,52309.006,2025-01-02 05:00:00+00:00
1735797600000,204.62,205.98,203.97,205.35,59742.477,2025-01-02 06:00:00+00:00
1735801200000,205.35,206.94,205.18,205.93,61295.513,2025-01-02 07:00:00+00:00
1735804800000,205.93,207.07,205.65,206.77,73555.254,2025-01-02 08:00:00+00:00
1735808400000,206.77,208.02,206.31,207.38,118843.953,2025-01-02 09:00:00+00:00
1735812000000,207.38,207.72,206.71,207.01,39646.548,2025-01-02 10:00:00+00:00
1735815600000,207.01,208.92,206.9,208.55,55719.73,2025-01-02 11:00:00+00:00
1735819200000,208.55,209.53,207.67,208.37,52236.868,2025-01-02 12:00:00+00:00
1735822800000,208.37,208.67,207.56,208.17,33715.188,2025-01-02 13:00:00+00:00
1735826400000,208.17,210.53,206.69,208.21,110498.772,2025-01-02 14:00:00+00:00
1735830000000,208.21,208.36,205.52,206.79,67160.0,2025-01-02 15:00:00+00:00
1735833600000,206.79,209.08,205.95,207.44,55174.983,2025-01-02 16:00:00+00:00
1735837200000,207.44,208.23,204.71,206.05,63349.004,2025-01-02 17:00:00+00:00
1735840800000,206.05,206.81,204.95,206.44,37899.293,2025-01-02 18:00:00+00:00
1735844400000,206.44,207.89,206.18,206.72,36436.834,2025-01-02 19:00:00+00:00
1735848000000,206.72,208.03,206.69,206.82,28741.934,2025-01-02 20:00:00+00:00
1735851600000,206.82,207.15,205.46,206.54,32413.563,2025-01-02 21:00:00+00:00
1735855200000,206.54,206.76,205.22,206.6,26893.255,2025-01-02 22:00:00+00:00
1735858800000,206.6,208.49,206.53,208.37,50283.55,2025-01-02 23:00:00+00:00
1735862400000,208.37,208.55,207.02,207.2,34221.75,2025-01-03 00:00:00+00:00
1735866000000,207.2,207.38,205.66,206.86,16167.983,2025-01-03 01:00:00+00:00
1735869600000,206.86,208.11,206.35,206.85,23546.822,2025-01-03 02:00:00+00:00
1735873200000,206.85,208.35,206.17,208.05,22927.743,2025-01-03 03:00:00+00:00
1735876800000,208.05,208.12,207.07,207.72,21025.691,2025-01-03 04:00:00+00:00
1735880400000,207.72,209.58,207.12,208.88,32958.576,2025-01-03 05:00:00+00:00
1735884000000,208.88,209.95,207.65,207.78,61313.469,2025-01-03 06:00:00+00:00
1735887600000,207.78,208.73,207.09,207.98,32807.797,2025-01-03 07:00:00+00:00
1735891200000,207.98,209.92,207.63,209.34,44968.269,2025-01-03 08:00:00+00:00
1735894800000,209.34,212.86,209.0,211.25,102894.805,2025-01-03 09:00:00+00:00
