ts,open,high,low,close,volume,time
1735689600000,189.32,191.32,189.09,190.7,29173.891,2025-01-01 00:00:00+00:00
1735691400000,190.7,192.65,190.63,192.5,18212.871,2025-01-01 00:30:00+00:00
1735693200000,192.5,192.62,190.69,191.16,20469.74,2025-01-01 01:00:00+00:00
1735695000000,191.16,191.63,190.34,190.7,12552.142,2025-01-01 01:30:00+00:00
1735696800000,190.7,191.23,190.41,190.62,9650.959,2025-01-01 02:00:00+00:00
1735698600000,190.62,192.06,190.56,191.6,13394.511,2025-01-01 02:30:00+00:00
1735700400000,191.6,191.62,190.58,190.61,12159.094,2025-01-01 03:00:00+00:00
1735702200000,190.61,190.72,190.05,190.4,6640.842,2025-01-01 03:30:00+00:00
1735704000000,190.4,190.41,189.67,189.87,12724.294,2025-01-01 04:00:00+00:00
1735705800000,189.87,189.87,189.34,189.5,12994.093,2025-01-01 04:30:00+00:00
1735707600000,189.5,190.61,189.35,190.43,12552.767,2025-01-01 05:00:00+00:00
1735709400000,190.43,190.64,190.0,190.16,5599.824,2025-01-01 05:30:00+00:00
1735711200000,190.16,190.3,189.61,189.95,4140.995,2025-01-01 06:00:00+00:00
1735713000000,189.95,190.34,189.4,190.32,6113.434,2025-01-01 06:30:00+00:00
1735714800000,190.32,190.39,189.76,189.92,5117.825,2025-01-01 07:00:00+00:00
1735716600000,189.92,190.27,189.72,190.09,8822.254,2025-01-01 07:30:00+00:00
1735718400000,190.09,190.77,189.4,189.85,9988.95,2025-01-01 08:00:00+00:00
1735720200000,189.85,190.09,189.29,189.4,7364.815,2025-01-01 08:30:00+00:00
1735722000000,189.4,189.77,188.21,188.49,19910.966,2025-01-01 09:00:00+00:00
1735723800000,188.49,189.22,187.98,189.18,13811.665,2025-01-01 09:30:00+00:00
1735725600000,189.18,190.53,189.18,190.22,13554.848,2025-01-01 10:00:00+00:00
1735727400000,190.22,191.02,190.07,190.26,13568.997,2025-01-01 10:30:00+00:00
1735729200000,190.26,191.24,189.93,191.22,12696.36,2025-01-01 11:00:00+00:00
1735731000000,191.22,191.88,190.94,191.35,15746.577,2025-01-01 11:30:00+00:00
1735732800000,191.35,191.75,190.75,191.5,18099.692,2025-01-01 12:00:00+00:00
1735734600000,191.5,191.79,190.53,190.95,14098.03,2025-01-01 12:30:00+00:00
1735736400000,190.95,191.35,189.55,189.67,18136.803,2025-01-01 13:00:00+00:00
1735738200000,189.67,190.39,189.66,190.25,8318.026,2025-01-01 13:30:00+00:00
1735740000000,190.25,191.48,189.91,189.96,9359.162,2025-01-01 14:00:00+00:00
1735741800000,189.96,190.99,189.16,190.89,12253.104,2025-01-01 14:30:00+00:00
1735743600000,190.89,191.19,189.97,190.52,7583.741,2025-01-01 15:00:00+00:00
1735745400000,190.52,192.17,190.32,191.91,11236.756,2025-01-01 15:30:00+00:00
1735747200000,191.91,192.27,190.62,191.09,10543.676,2025-01-01 16:00:00+00:00
1735749000000,191.09,191.36,190.08,190.51,8635.332,2025-01-01 16:30:00+00:00
1735750800000,190.51,190.68,189.24,189.83,14411.594,2025-01-01 17:00:00+00:00
1735752600000,189.83,190.66,189.49,190.62,7160.048,2025-01-01 17:30:00+00:00
